"","X","Employer","Last.name","First.name","Job.title","Salary.Paid","Taxable.Benefits","Calendar.Year","Sector"
"1",1,"Ontario Court of Justice","ADAMS","PETER","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"2",2,"Ontario Court of Justice","AGRO","MARJOH","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"3",3,"Ontario Court of Justice","AKKANEN","JOHN A","Justice of the Peace","$111,090.72","$202.32",2007,"Judiciary"
"4",4,"Ontario Court of Justice","ALDER","ANN","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"5",5,"Ontario Court of Justice","ALLEN","JAMES","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"6",6,"Ontario Court of Justice","ANDERSON","CHARLES","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"7",7,"Ontario Court of Justice","ANDRE","IRVING","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"8",8,"Ontario Court of Justice","ARMSTRONG","SIMON","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"9",9,"Ontario Court of Justice","ATWOOD","HUGH","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"10",10,"Ontario Court of Justice","AUSTIN","DEBORAH","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"11",11,"Ontario Court of Justice","BAIG","DIANNE","Judge","$225,234.46","$690.73",2007,"Judiciary"
"12",12,"Ontario Court of Justice","BALDOCK","JULIET","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"13",13,"Ontario Court of Justice","BALDWIN","LESLEY","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"14",14,"Ontario Court of Justice","BARNES","KOFI","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"15",15,"Ontario Court of Justice","BARTRAW","DARRELL","Justice of the Peace","$101,043.28","$183.96",2007,"Judiciary"
"16",16,"Ontario Court of Justice","BASSEL","WILLIAM","Judge","$225,234.46","$1,747.73",2007,"Judiciary"
"17",17,"Ontario Court of Justice","BEAMAN","JUDITH","Judge","$228,719.18","$3,500.05",2007,"Judiciary"
"18",18,"Ontario Court of Justice","BEATTY","W. GEORGE","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"19",19,"Ontario Court of Justice","BEGLEY","DONALD","Justice of the Peace","$109,406.44","$199.20",2007,"Judiciary"
"20",20,"Ontario Court of Justice","BELANGER","PAUL","Judge","$230,876.66","$2,968.84",2007,"Judiciary"
"21",21,"Ontario Court of Justice","BELLEFONTAINE","PAUL","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"22",22,"Ontario Court of Justice","BENNETT","NORMAN","Judge","$225,234.46","$690.73",2007,"Judiciary"
"23",23,"Ontario Court of Justice","BENTLEY","PAUL","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"24",24,"Ontario Court of Justice","BHABHA","FEROZA","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"25",25,"Ontario Court of Justice","BIGELOW","ROBERT","Judge","$236,424.23","$3,624.69",2007,"Judiciary"
"26",26,"Ontario Court of Justice","BIGNELL","KRISTINE","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"27",27,"Ontario Court of Justice","BISHOP","PETER","Judge","$236,424.23","$3,624.69",2007,"Judiciary"
"28",28,"Ontario Court of Justice","BLACKLOCK","WILLIAM","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"29",29,"Ontario Court of Justice","BLOOMENFELD","MIRIAM","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"30",30,"Ontario Court of Justice","BLOUIN","RICHARD","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"31",31,"Ontario Court of Justice","BOIVIN","RONALD","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"32",32,"Ontario Court of Justice","BONAS","PRIOR","Justice of the Peace","$107,469.70","$195.72",2007,"Judiciary"
"33",33,"Ontario Court of Justice","BONDY","SHARMAN","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"34",34,"Ontario Court of Justice","BONKALO","ANNEMARIE","Judge","$247,990.43","$3,798.80",2007,"Judiciary"
"35",35,"Ontario Court of Justice","BORENSTEIN","HOWARD","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"36",36,"Ontario Court of Justice","BOURQUE","PETER","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"37",37,"Ontario Court of Justice","BOVARD","JOSEPH","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"38",38,"Ontario Court of Justice","BREWER","CAROL","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"39",39,"Ontario Court of Justice","BROPHY","GEORGE","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"40",40,"Ontario Court of Justice","BROWN","BEVERLY","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"41",41,"Ontario Court of Justice","BROWN","STEPHEN","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"42",42,"Ontario Court of Justice","BROWNSTONE","HARVEY","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"43",43,"Ontario Court of Justice","BUDZINSKI","LLOYD","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"44",44,"Ontario Court of Justice","BUTTAZZONI","ANDREW","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"45",45,"Ontario Court of Justice","CALDWELL","KATHLEEN","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"46",46,"Ontario Court of Justice","CAMPBELL","GREGORY","Judge","$225,234.46","$3,321.10",2007,"Judiciary"
"47",47,"Ontario Court of Justice","CAMPBELL","HUBERT","Judge","$178,486.77","$3,453.23",2007,"Judiciary"
"48",48,"Ontario Court of Justice","CAMPLING","FREDERIC","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"49",49,"Ontario Court of Justice","CARR","DAVID","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"50",50,"Ontario Court of Justice","CARR","RALPH","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"51",51,"Ontario Court of Justice","CASEY","JOHN","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"52",52,"Ontario Court of Justice","CASPERS","JANE","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"53",53,"Ontario Court of Justice","CAVION","BRUNO","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"54",54,"Ontario Court of Justice","CHANG ALLOY","VERNON","Justice of the Peace","$107,469.70","$195.72",2007,"Judiciary"
"55",55,"Ontario Court of Justice","CHESTER","LORNE","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"56",56,"Ontario Court of Justice","CHISVIN","HOWARD","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"57",57,"Ontario Court of Justice","CLARE","JAMES","Justice of the Peace","$112,633.04","$205.08",2007,"Judiciary"
"58",58,"Ontario Court of Justice","CLARK","STEVE","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"59",59,"Ontario Court of Justice","CLARKE","RODERICK","Judge","$225,234.46","$690.73",2007,"Judiciary"
"60",60,"Ontario Court of Justice","CLEARY","THOMAS","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
"61",61,"Ontario Court of Justice","CLEMENTS","FORD","Judge","$225,234.46","$3,453.23",2007,"Judiciary"
